01-01-2015	Cold Day
01-02-2015	Cold Day
01-03-2015	Cold Day
01-04-2015	Cold Day
01-05-2015	Cold Day
01-07-2015	Cold Day
01-08-2015	Cold Day
01-09-2015	Cold Day
01-10-2015	Cold Day
01-11-2015	Cold Day
01-12-2015	Cold Day
01-13-2015	Cold Day
01-14-2015	Cold Day
01-15-2015	Cold Day
01-21-2015	Cold Day
01-22-2015	Cold Day
01-23-2015	Cold Day
01-24-2015	Cold Day
02-02-2015	Cold Day
02-03-2015	Cold Day
02-04-2015	Cold Day
02-05-2015	Cold Day
02-06-2015	Cold Day
02-16-2015	Cold Day
02-17-2015	Cold Day
02-18-2015	Cold Day
02-22-2015	Cold Day
02-23-2015	Cold Day
02-24-2015	Cold Day
02-25-2015	Cold Day
02-26-2015	Cold Day
02-27-2015	Cold Day
02-28-2015	Cold Day
03-01-2015	Cold Day
03-02-2015	Cold Day
03-06-2015	Cold Day
03-07-2015	Cold Day
03-08-2015	Cold Day
03-09-2015	Cold Day
